Epoch 1; loss 20.412695640698075
Epoch 2; loss 4.67628296231851
Epoch 3; loss 1.3939505617599934
Epoch 4; loss 0.8264643645379692
Epoch 5; loss 0.6516948110656813
Epoch 6; loss 0.5627784789539874
Epoch 7; loss 0.5195570658543147
Epoch 8; loss 0.4826744406600483
Epoch 9; loss 0.46470131020760164
Epoch 10; loss 0.4744559284299612
Validation loss 0.23834470240399241
