Epoch 1; loss 20.63721520267427
Epoch 2; loss 5.547721195500344
Epoch 3; loss 1.450802898965776
Epoch 4; loss 0.7519008690724149
Epoch 5; loss 0.5223493145313114
Epoch 6; loss 0.4113238350255415
Epoch 7; loss 0.3772272025817074
Epoch 8; loss 0.35656331191421486
Epoch 9; loss 0.3361419154680334
Epoch 10; loss 0.32002648094203323
Validation loss 0.12830101826693863
